key_id,en,fr,name_toflit_simplification,id_toflit,datasprint1
,,,terrasse,terrasse~product_simplification,False
,,,terre,terre~product_simplification,False
00000242,Cask (empty),Futailles vides,futailles vides,futailles_vides~product_simplification,True
,,,futailles démontées vides,futailles_démontées_vides~product_simplification,False
,,,futailles vides de tonnelier,futailles_vides_de_tonnelier~product_simplification,False
00000254,Pilchard,Sardines,sardines,sardines~product_simplification,True
00000257,Stave wood,Bois merrain,douelles,douelles~product_simplification,False
,,,merrains bourdillons,merrains_bourdillons~product_simplification,False
,,,merrains pour barriques,merrains_pour_barriques~product_simplification,False
,,,merrains pour tonneaux,merrains_pour_tonneaux~product_simplification,False
,,,merrains pour barils,merrains_pour_barils~product_simplification,False
,,,bois merrains pour cardines,bois_merrains_pour_cardines~product_simplification,False
,,,merrains pour quarts,merrains_pour_quarts~product_simplification,False
,,,merrains pour buses,merrains_pour_buses~product_simplification,False
,,,merrains pour pipes,merrains_pour_pipes~product_simplification,False
,,,feuillards de bois merrains,feuillards_de_bois_merrains~product_simplification,False
,,,merrains de sapin,merrains_de_sapin~product_simplification,False
,,,merrains bourdilles,merrains_bourdilles~product_simplification,False
,,,merrains pour tortue,merrains_pour_tortue~product_simplification,False
,,,bois et merrains,bois_et_merrains~product_simplification,False
,,,merrains pour boucaud,merrains_pour_boucaud~product_simplification,False
,,,merrains ???,merrains_???~product_simplification,False
,,,merrains pour ferraille,merrains_pour_ferraille~product_simplification,False
,,,merrains de douves,merrains_de_douves~product_simplification,False
,,,merrains pour fonds,merrains_pour_fonds~product_simplification,False
,,,merrains communs,merrains_communs~product_simplification,False
,,,merrains pour tonnellerie,merrains_pour_tonnellerie~product_simplification,False
,,,merrains pour bottes,merrains_pour_bottes~product_simplification,False
,,,merrains,merrains~product_simplification,False
,,,merrains fonçaille,merrains_fonçaille~product_simplification,False
,,,merrains pour tierçons,merrains_pour_tierçons~product_simplification,False
,,,merrains pour muid,merrains_pour_muid~product_simplification,False
,,,merrains de chêne,merrains_de_chêne~product_simplification,False
00000258,Fish oil,Huile de poisson,huile de graine de poisson,huile_de_graine_de_poisson~product_simplification,False
,,,huile de poisson et de lin,huile_de_poisson_et_de_lin~product_simplification,False
,,,huile pour étranger de poisson,huile_pour_étranger_de_poisson~product_simplification,False
,,,huile pour France de poisson,huile_pour_France_de_poisson~product_simplification,False
,,,huile spirituelle de poisson,huile_spirituelle_de_poisson~product_simplification,False
,,,huile de poisson des Indes,huile_de_poisson_des_Indes~product_simplification,False
,,,huile de poisson,huile_de_poisson~product_simplification,True
,,,huile de graisse de poisson,huile_de_graisse_de_poisson~product_simplification,False
,,,huile à brûler et de poisson,huile_à_brûler_et_de_poisson~product_simplification,False
,,,huile de poisson et poix,huile_de_poisson_et_poix~product_simplification,False
,,,pied d'huile de poisson,pied_d'huile_de_poisson~product_simplification,False
00000259,Coastal fishing,Pêche au poisson frais,filets à pêcher le poisson frai,filets_à_pêcher_le_poisson_frai~product_simplification,False
,,,vivres pour la pêche au poisson frais,vivres_pour_la_pêche_au_poisson_frais~product_simplification,False
,,,poisson frais,poisson_frais~product_simplification,False
,,,pêche côtière,pêche_côtière~product_simplification,False
,,,pêche (poisson),pêche_(poisson)~product_simplification,False
,,,outils de pêche au poisson frais,outils_de_pêche_au_poisson_frais~product_simplification,False
,,,pêche au poisson frais,pêche_au_poisson_frais~product_simplification,False
00000280,Fishing (pilchard),Pêche à la sardine,pêche à la sardine,pêche_à_la_sardine~product_simplification,False
00000281,Fishing implements,Ustensiles de pêche,ustensiles de pêche,ustensiles_de_pêche~product_simplification,True
,,,outils de pêche,outils_de_pêche~product_simplification,False
,,,filets et ustensiles de pêche,filets_et_ustensiles_de_pêche~product_simplification,False
00000295,Iron,Fer,??? de fer,???_de_fer~product_simplification,False
,,,ferrements,ferrements~product_simplification,False
,,,dés de fer,dés_de_fer~product_simplification,False
,,,??? fer,???_fer~product_simplification,False
,,,fer en ?,fer_en_?~product_simplification,False
,,,fer,fer~product_simplification,True
00000298,Broad bean,Fèves,"""fèves", orge,False
,,,fèves,fèves~product_simplification,False
00000303,Pitch,Brai,brai ??? brai,brai_???_brai~product_simplification,False
,,,brai,brai~product_simplification,False
,,,brai ???,brai_???~product_simplification,False
,,,"""brai"," goudron et résine""",False
00000305,Tar,Goudron,goudron,goudron~product_simplification,True
00000327,Mussels,Moules ,moules,moules~product_simplification,False
00000328,Fishing (mussel),Pêche des moules,pêche aux moules,pêche_aux_moules~product_simplification,False
00000354,Beer,Bière,bière,bière~product_simplification,False
00000356,Sundries (allowed),Marchandises permises,marchandises permises,marchandises_permises~product_simplification,False
00000361,Green cod,Morue verte,morue verte des Îles,morue_verte_des_Îles~product_simplification,False
,,,morue verte en tonneaux,morue_verte_en_tonneaux~product_simplification,False
,,,morue verte,morue_verte~product_simplification,True
,,,morue verte avariée,morue_verte_avariée~product_simplification,False
,,,morue verte cabillaud,morue_verte_cabillaud~product_simplification,False
00000362,Salted pilchard,Sardines salées,sardines pressées et salées,sardines_pressées_et_salées~product_simplification,False
,,,sardines marinées et salées,sardines_marinées_et_salées~product_simplification,False
,,,sardines salées,sardines_salées~product_simplification,True
00000363,Pressed pilchard,Sardines pressées de Bretagne,sardines pressées,sardines_pressées~product_simplification,False
00000379,Butter,Beurre,beurre,beurre~product_simplification,True
00000414,Faggots,Fagots,fagots,fagots~product_simplification,True
00000419,Hoops,Cercles,cercles,cercles~product_simplification,False
00000420,Onions,Oignons,oignons de ???,oignons_de_???~product_simplification,False
,,,oignons,oignons~product_simplification,False
00000431,Dryed cod,Morue sèche,morue joues sèche,morue_joues_sèche~product_simplification,False
,,,morue sèche,morue_sèche~product_simplification,False
00000444,Wheat,Froment,grains froment,grains_froment~product_simplification,True
00000469,Empty,Vide,à vide,à_vide~product_simplification,False
,,,vide,vide~product_simplification,False
00000470,Coastal tramping,à l'aventure,à l'aventure,à_l'aventure~product_simplification,False
00000491,Bran,Son,son,son~product_simplification,False
00000512,Grain,Grain,graine de l ???,graine_de_l_???~product_simplification,False
,,,grains,grains~product_simplification,False
,,,graine,graine~product_simplification,False
,,,graine ???,graine_???~product_simplification,False
,,,grains divers,grains_divers~product_simplification,False
,,,graine de,graine_de~product_simplification,False
00000522,Resin,Résine,résines,résines~product_simplification,False
