name,source_name
vieux oint,Vieus-oin
vieux oint,Vieus oin
vin de Chypre,Vin de Chipre
vin de Chypre,Vin de chipre
vin de Chypre,Vin ; de Chipre
vin de Chypre,Vin ; de chipre
vin de Chypre,Vin; de Chipres
bourre de bœuf,Boure de beuf
bourre de bœuf,Boure ; de beuf
bourre de bœuf,Boure de Bœuf
bourre de bœuf,Boure de bœuf
bourre de bœuf,Bourre de beüf
canefice,Caneffice
canefice,Canéfice
canefice,Canefice
canefice,Canefices
canefice,Canefiche
cordage d'espars,Cordage d'espar
cordage d'espars,Cordage d'espars
cordage d'espars,Cordage ; d'Espars
cordage d'espars,Cordage ; d'espars
cordage d'espars,Cordage ; d'espart
cornes de bœuf,Corne de beuf
cornes de bœuf,Corne ; de beuf
cornes de bœuf,Corne ; de bœuf
cornes de bœuf,Cornes de Beuf
cornes de bœuf,Cornes de beuf
corot,Coroos
corot,Coroot
corot,Coroote ?
corot,Coroots
corot,Corops coroot ?
crème de tartre,Crème ; de lartre
crème de tartre,Crème de tarte
crème de tartre,Creme de Tarte
crème de tartre,Creme de tarte
crème de tartre,Creme ; de tarte
pâte d'amandes,Päte d'amande
pâte d'amandes,Paste d'amande
pâte d'amandes,Paste ; d'amande
pâte d'amandes,Paste d'amandes
pâte d'amandes,Paste ; d'amandes
pain d'épice,Pain d'épice
pain d'épice,Pain d'Epice
pain d'épice,Pain d'epice
pain d'épice,Pain ; dépice
pain d'épice,Pain ; D'épice
planches de Prusse,Palnches ; de Prusse
planches de Prusse,Placnche de Pruse
planches de Prusse,Planche de Prusse
planches de Prusse,Planche de prusse
planches de Prusse,Planche ; de Prusse
planches de sapin,Palnches ; de sapin
planches de sapin,Pklanches de sapin
planches de sapin,Plamches de Sapin
planches de sapin,Planche de sapin;
planches de sapin,Planche de Sapin
pierres d'émeri,Pierre ; d'émery
pierres d'émeri,Pierre ; d'Emery
pierres d'émeri,Pierre ; d'emery
pierres d'émeri,Pierres d'emeri
pierres d'émeri,Pierres ; d'émeri
poudre à poudrer,Poucre à poudrer
poudre à poudrer,Poude à poudrer
poudre à poudrer,Poudre à poudre
poudre à poudrer,Poudre a poudre
poudre à poudrer,Poudre ; a poudre
toile blanche,Toile ; blanc
toile blanche,Toile Blanche
toile blanche,Toile blanche
toile blanche,Toile ; Blanche
toile blanche,Toile ; blanche
toile de Hollande,Toile de Hollande
toile de Hollande,Toile de hollande
toile de Hollande,Toile ; de Hollande
toile de Hollande,Toile dholande
toile de Hollande,Toile d'Holande
bois de Campêche en bûches,Bois de campêche en buche
bois de Campêche en bûches,Bois ; de campêche en buche
bois de Campêche en bûches,Bois de Campêche en buches
bois de Campêche en bûches,Bois de campêche en buches
bois de Campêche en bûches,Bois de campeche en buches
cendre gravelée,Cendre granele
cendre gravelée,Cendre Gravelé
cendre gravelée,Cendre gravelé
cendre gravelée,Cendre;gravelée
cendre gravelée,Cendre Gravelée
cercles à tonneaux,Cercles à à tonneaux
cercles à tonneaux,Cercles ; à tanneaux
cercles à tonneaux,Cercles à thonneau
cercles à tonneaux,Cercles à thonneaux
cercles à tonneaux,Cercles a toneaux
cirsaca,Ciraka
cirsaca,Circaca
cirsaca,Cirçacas
cirsaca,Circacas
cirsaca,Circahas
cire jaune,Cire; Jaune
cire jaune,Cire jaune;
cire jaune,Cire Jaune
cire jaune,Cire jaune
cire jaune,Cire ; Jaune
coton en laine,Conton ; en laine
coton en laine,Coton; En laine
coton en laine,Coton en Laine
coton en laine,Coton en laine
coton en laine,Coton ; En laine
contra yerba,Contra
contra yerba,Contrabierre
contra yerba,Contrabierva
contra yerba,Contracyrna
contra yerba,Contragerna
dents de morphil,Dens de morphil
dents de morphil,Dent de Morphil
dents de morphil,Dent de morphil
dents de morphil,Dent ; de morphil
dents de morphil,Dents de morfil
douelles à tonneaux,Döuelles a tonneaux
douelles à tonneaux,Doüeles ; à tonneaux
douelles à tonneaux,Doüelle a tonneaux
douelles à tonneaux,Doüelles ; à toneaux
douelles à tonneaux,Doüelles à tonneaux
eau-de-vie d'Hendaye,Eau de Vie d'andage
eau-de-vie d'Hendaye,Eau de vie d'Andaie
eau-de-vie d'Hendaye,Eau de vie d'Andaille
eau-de-vie d'Hendaye,Eau-de-vie d'Andaye
eau-de-vie d'Hendaye,Eau de vie d'andaye
fleurs de soufre,Fleur ; de fouffre
fleurs de soufre,Fleur de Souffre
fleurs de soufre,Fleur de souffre
fleurs de soufre,Fleur ; de souffre
fleurs de soufre,Fleur de soufre
graine de jardin,Grainde de jardin
graine de jardin,Graine de jardain
graine de jardin,Graine;de Jardin
graine de jardin,Graine de Jardin
graine de jardin,Graine de jardin
haches houes et serpes,"Haches, hoües et serpe"
haches houes et serpes,"Haches, hoües et serpes"
haches houes et serpes,Haches hoües et serpes
haches houes et serpes,Haches ; hoües et serpes
haches houes et serpes,"Haches , hoües et serpes"
inde plate,Indeplate
inde plate,Inde-plate
inde plate,Inde plate
inde plate,Inde ; plate
inde plate,Inde plates
liège en planches,Liège en Planche
liège en planches,Liège en planche
liège en planches,Liége en planche
liège en planches,Liège ; en planche
liège en planches,Liege ; en planche
peaux de maroquins,Peau ; de maroquin
peaux de maroquins,Peaux ; de maraquin
peaux de maroquins,Peaux ; de marequin
peaux de maroquins,Peaux de marocain
peaux de maroquins,Peaux de maroquier
pierres ponce,Piere ponce
pierres ponce,Pierre-ponce
pierres ponce,Pierre Ponce
pierres ponce,Pierre ponce
pierres ponce,Pierre ; ponce
plumes à lit,Plues ; à lit
plumes à lit,Plum a lit
plumes à lit,Plume à Lit
plumes à lit,Plume à lit
plumes à lit,Plume a lit
poterie de grès barbançons,Poterie de grès barbançons
poterie de grès barbançons,Poterie de grès ; barbançons
poterie de grès barbançons,Poterie de grès en barbançons
poterie de grès barbançons,Poterie de grez Barbançons
poterie de grès barbançons,Poterie ; degrez ; barbançons
quincaille de fer et acier,Quicaille de fer et acier
quincaille de fer et acier,Quicailles de fer et acier
quincaille de fer et acier,Quincaille de fer & acier
quincaille de fer et acier,Quincaille de fer § acier
quincaille de fer et acier,Quincaille de fer et acier
rave de morue,Rase de morue
rave de morue,Raux de morue
rave de morue,Rave de moruë
rave de morue,Rave de Morue
rave de morue,Rave de morue
toile killis,Toile kilis
toile killis,Toile ; kilis
toile killis,Toile killi
toile killis,Toile killie
toile killis,Toile ; killie
ustensiles de pêche,Usentiles de pêche
ustensiles de pêche,Ustanciles de pêche
ustensiles de pêche,Ustanciles ; de pêche
ustensiles de pêche,Ustancilles ; de pêche
ustensiles de pêche,Ustancils de pêche
aiguilles à coudre,Aiguiles a coudre
aiguilles à coudre,Aiguille a coude
aiguilles à coudre,Aiguille à coudre
aiguilles à coudre,Aiguille A coudre
aiguilles à coudre,Aiguille a coudre
amandes cassées,Amande cassées
amandes cassées,Amandées cassées
amandes cassées,Amandes caséér
amandes cassées,Amandes casées
amandes cassées,Amandes Cassé
armes à feu fusils,Armes ; à feu en fusils
armes à feu fusils,Armes ; a feu en fusils
armes à feu fusils,Armes a feu ; fusil
armes à feu fusils,Armes; à feu; fusils
armes à feu fusils,Armes à feu Fusils
asa foetida,Assa fassida
asa foetida,Assafectida
asa foetida,Assafelida
asa foetida,Assafétida
asa foetida,Assafetida
balais de palme,Balai de palme
balais de palme,Balai ; de palmes
balais de palme,Balais; De palme
balais de palme,Balais de Palme
balais de palme,Balais de palme
barriques vides,Bariqes vuides
barriques vides,Bariques vides
barriques vides,Bariques vüides
barriques vides,Bariques vuide
barriques vides,Bariques Vuides
bonneterie de laine,Boneterie de laine
bonneterie de laine,Boneterie ; de laine
bonneterie de laine,Bonetterie de laine
bonneterie de laine,Bonneterie; de laine
bonneterie de laine,Bonneterie de Laine
