name_orthographic,lowercase_name,typographic_cleaned_name
bestiaux porcs maigres,bestiaux porcs maigres,bestiaux porcs maigres
bestiaux poulains mullards,bestiaux poulains mullards,bestiaux poulains mullards
bestiaux vaches à lait,bestiaux vaches à lait,bestiaux vaches a lait
bestiaux vaches grasses,bestiaux vaches grasses,bestiaux vaches grasses
bestiaux veaux gras,bestiaux veaux gras,bestiaux veaux gras
bestiaux veaux petits,bestiaux veaux petits,bestiaux veaux petits
bêtes de somme,bêtes de somme,betes de somme
bêtes de somme ânes et ânesses,bêtes de somme ânes et ânesses,betes de somme anes et anesses
bêtes de somme chevaux arabes,bêtes de somme chevaux arabes,betes de somme chevaux arabes
bêtes de somme chèvres,bêtes de somme chèvres,betes de somme chevres
bêtes de somme en poulains,bêtes de somme en poulains,betes de somme en poulains
bêtes de somme et bestiaux,bêtes de somme et bestiaux,betes de somme et bestiaux
bêtes de somme et bœufs,bêtes de somme et bœufs,betes de somme et boeufs
bêtes de somme et poulains,bêtes de somme et poulains,betes de somme et poulains
bêtes de somme juments,bêtes de somme juments,betes de somme juments
bêtes de somme mules mulets et chevaux,bêtes de somme mules mulets et chevaux,betes de somme mules mulets et chevaux
bêtes de somme particulièrement en chevaux,bêtes de somme particulièrement en chevaux,betes de somme particulierement en chevaux
bêtes de somme principalement en mules et mulets,bêtes de somme principalement en mules et mulets,betes de somme principalement en mules et mulets
bêtes principalement en mules et mulets,bêtes principalement en mules et mulets,betes principalement en mules et mulets
bœuf salé d'olivier,bœuf salé d'olivier,boeuf sale d'olivier
bœuf salé pour l'entrepôt des Îles,bœuf salé pour l'entrepôt des îles,boeuf sale pour l'entrepot des iles
bœufs et vaches et moutons etc.,bœufs et vaches et moutons etc.,boeufs et vaches et moutons etc.
bœuf taureau,bœuf taureau,boeuf taureau
beurre commun,beurre commun,beurre commun
beurre de bœuf,beurre de bœuf,beurre de boeuf
beurre de Dixmude,beurre de dixmude,beurre de dixmude
beurre pour l'entrepôt des Îles,beurre pour l'entrepôt des îles,beurre pour l'entrepot des iles
beurre d'Angleterre,beurre d'angleterre,beurre d'angleterre
beurre d'Irlande non comestible,beurre d'irlande non comestible,beurre d'irlande non comestible
beurre en frequins,beurre en frequins,beurre en frequins
beurre fondu,beurre fondu,beurre fondu
beurre frais ou fondu ou salé,beurre frais ou fondu ou salé,beurre frais ou fondu ou sale
beurre frais ou fondu,beurre frais ou fondu,beurre frais ou fondu
beurre ordinaire,beurre ordinaire,beurre ordinaire
beurre pour Genève par transit,beurre pour genève par transit,beurre pour geneve par transit
beurre salé de Hollande,beurre salé de hollande,beurre sale de hollande
beurreterie en bar de fil blanc,beurreterie en bar de fil blanc,beurreterie en bar de fil blanc
bezoar du Ponent,bezoar du ponent,bezoar du ponent
bidets de faïence,bidets de faïence,bidets de faience
bidets,bidets,bidets
bidets de faïence avec leurs pieds de bois,bidets de faïence avec leurs pieds de bois,bidets de faience avec leurs pieds de bois
bidets de faïence et leurs pièces,bidets de faïence et leurs pièces,bidets de faience et leurs pieces
bidons,bidons,bidons
bière de Lübeck pour médecine,bière de lübeck pour médecine,biere de lubeck pour medecine
bière en bouteille,bière en bouteille,biere en bouteille
bière en muid,bière en muid,biere en muid
bière en barrique,bière en barrique,biere en barrique
bière aigre,bière aigre,biere aigre
bière blanche,bière blanche,biere blanche
bière commune du pays,bière commune du pays,biere commune du pays
bière de Liège,bière de liège,biere de liege
bière d'Hoegaarden,bière d'hoegaarden,biere d'hoegaarden
bière dite juypenbier,bière dite juypenbier,biere dite juypenbier
bière dite lumay,bière dite lumay,biere dite lumay
bière forte,bière forte,biere forte
bière médicinale de Lübeck,bière médicinale de lübeck,biere medicinale de lubeck
bierze,bierze,bierze
bigarade,bigarade,bigarade
bignes,bignes,bignes
bigons,bigons,bigons
bigornes,bigornes,bigornes
bigous,bigous,bigous
bigues,bigues,bigues
bijouterie argenterie et orfèvrerie,bijouterie argenterie et orfèvrerie,bijouterie argenterie et orfevrerie
bijouterie d'argent autre qu'ornée en pierres ou perles fines,bijouterie d'argent autre qu'ornée en pierres ou perles fines,bijouterie d'argent autre qu'ornee en pierres ou perles fines
bijouterie d'argent ornée en pierres ou perles fines,bijouterie d'argent ornée en pierres ou perles fines,bijouterie d'argent ornee en pierres ou perles fines
bijouterie diamants perles et pierres fines non montés,bijouterie diamants perles et pierres fines non montés,bijouterie diamants perles et pierres fines non montes
bijouterie d'or autre qu'ornée en pierres ou perles fines,bijouterie d'or autre qu'ornée en pierres ou perles fines,bijouterie d'or autre qu'ornee en pierres ou perles fines
bijouterie d'or ornée en pierres ou perles fines,bijouterie d'or ornée en pierres ou perles fines,bijouterie d'or ornee en pierres ou perles fines
bijouterie en croix,bijouterie en croix,bijouterie en croix
bijouterie en épingles,bijouterie en épingles,bijouterie en epingles
bijouterie en perles et pierres fines montées et non montées,bijouterie en perles et pierres fines montées et non montées,bijouterie en perles et pierres fines montees et non montees
bijouterie et perles fines,bijouterie et perles fines,bijouterie et perles fines
bijouterie et perles fines montées et non montées,bijouterie et perles fines montées et non montées,bijouterie et perles fines montees et non montees
bijouterie fine fausse en pierres faite métal,bijouterie fine fausse en pierres faite métal,bijouterie fine fausse en pierres faite metal
bijouterie mêlée,bijouterie mêlée,bijouterie melee
bijouterie pour montres d'argent,bijouterie pour montres d'argent,bijouterie pour montres d'argent
bijoux,bijoux,bijoux
bilardeaux,bilardeaux,bilardeaux
billard,billard,billard
billard gaongs,billard gaongs,billard gaongs
billard vieux,billard vieux,billard vieux
bille de bois de marbre,bille de bois de marbre,bille de bois de marbre
billes de billard,billes de billard,billes de billard
billes de bois à faire meubles,billes de bois à faire meubles,billes de bois a faire meubles
billes de bois de Cayenne,billes de bois de cayenne,billes de bois de cayenne
billes de bois de Cayenne de 9 pieds,billes de bois de cayenne de 9 pieds,billes de bois de cayenne de 9 pieds
billes de bois de gaïac,billes de bois de gaïac,billes de bois de gaiac
billons et bois blanc,billons et bois blanc,billons et bois blanc
billons de bois petits,billons de bois petits,billons de bois petits
billots,billots,billots
billots à faire merrain,billots à faire merrain,billots a faire merrain
billots de chêne à faire merrain,billots de chêne à faire merrain,billots de chene a faire merrain
billots de sapin de 20 pieds,billots de sapin de 20 pieds,billots de sapin de 20 pieds
billots de sapin de 30 à 35 pieds,billots de sapin de 30 à 35 pieds,billots de sapin de 30 a 35 pieds
bimauds,bimauds,bimauds
bimbeloterie,bimbeloterie,bimbeloterie
binages à pousser,binages à pousser,binages a pousser
Bengale,bengale,bengale
birampots,birampots,birampots
birampots bleu,birampots bleu,birampots bleu
bigane,bigane,bigane
biseaux,biseaux,biseaux
biscottes,biscottes,biscottes
biscuit anisé,biscuit anisé,biscuit anise
biscuit amer,biscuit amer,biscuit amer
biscuit de munition,biscuit de munition,biscuit de munition
biscuit en pain,biscuit en pain,biscuit en pain
bitume,bitume,bitume
bitume et asphalte ou bitume de Judée,bitume et asphalte ou bitume de judée,bitume et asphalte ou bitume de judee
bitume et houille brute,bitume et houille brute,bitume et houille brute
bitume et houille coak,bitume et houille coak,bitume et houille coak
bitume et succin,bitume et succin,bitume et succin
blagues,blagues,blagues
blagues à tabac,blagues à tabac,blagues a tabac
blagues de cuir,blagues de cuir,blagues de cuir
blallst,blallst,blallst
??? blanc,??? blanc,??? blanc
blanc de céruse pour l'entrepôt pour la Compagnie des Indes,blanc de céruse pour l'entrepôt pour la compagnie des indes,blanc de ceruse pour l'entrepot pour la compagnie des indes
blanc de Naples,blanc de naples,blanc de naples
blanc de Hollande,blanc de hollande,blanc de hollande
blanc en chevrons,blanc en chevrons,blanc en chevrons
blanchette,blanchette,blanchette
blanc plomb,blanc plomb,blanc plomb
blanc simple,blanc simple,blanc simple
blé avoine,blé avoine,ble avoine
blé baillarge,blé baillarge,ble baillarge
blé de Hongrie,blé de hongrie,ble de hongrie
blé de maïs,blé de maïs,ble de mais
blé de méteil,blé de méteil,ble de meteil
blé de prune,blé de prune,ble de prune
blé de toutes sortes,blé de toutes sortes,ble de toutes sortes
blé en gerbes,blé en gerbes,ble en gerbes
blé et froment,blé et froment,ble et froment
blé mercit,blé mercit,ble mercit
blé meteil,blé meteil,ble meteil
blé seigle avarié,blé seigle avarié,ble seigle avarie
blé seigle en gerbes,blé seigle en gerbes,ble seigle en gerbes
blé et autres graine comestible,blé et autres graine comestible,ble et autres graine comestible
blé et riz,blé et riz,ble et riz
blé froment et méteil,blé froment et méteil,ble froment et meteil
blé froment par Bayonne et Marseille,blé froment par bayonne et marseille,ble froment par bayonne et marseille
blé froment par Marseille,blé froment par marseille,ble froment par marseille
blé maïs par Marseille,blé maïs par marseille,ble mais par marseille
blé mescli,blé mescli,ble mescli
blé orge par Marseille,blé orge par marseille,ble orge par marseille
blé orge,blé orge,ble orge
blé seigle par Marseille,blé seigle par marseille,ble seigle par marseille
bleu,bleu,bleu
bleu azure,bleu azure,bleu azure
bleu calaminé,bleu calaminé,bleu calamine
bleu commun,bleu commun,bleu commun
bleu de Berlin,bleu de berlin,bleu de berlin
bleu de paille,bleu de paille,bleu de paille
bleu de Prusse de toutes qualités,bleu de prusse de toutes qualités,bleu de prusse de toutes qualites
bleu de Prusse et graine jaune,bleu de prusse et graine jaune,bleu de prusse et graine jaune
bleu de Prusse indique et boules,bleu de prusse indique et boules,bleu de prusse indique et boules
bleu de Prusse ou de Berlin,bleu de prusse ou de berlin,bleu de prusse ou de berlin
bleu de Saxe,bleu de saxe,bleu de saxe
bleu de smalt,bleu de smalt,bleu de smalt
bleu fin,bleu fin,bleu fin
bleu foncé,bleu foncé,bleu fonce
bleu ordinaire,bleu ordinaire,bleu ordinaire
bleu ou tournesol,bleu ou tournesol,bleu ou tournesol
Blicourt écarlate,blicourt écarlate,blicourt ecarlate
bloc de bois de l'Amérique,bloc de bois de l'amérique,bloc de bois de l'amerique
blocs de chêne,blocs de chêne,blocs de chene
blocs de hêtre,blocs de hêtre,blocs de hetre
blocs ???,blocs ???,blocs ???
blocs de joncs,blocs de joncs,blocs de joncs
blonde d'argent,blonde d'argent,blonde d'argent
blonde de fil,blonde de fil,blonde de fil
blonde d'or,blonde d'or,blonde d'or
blonde or et argent,blonde or et argent,blonde or et argent
blonde visage,blonde visage,blonde visage
blondine,blondine,blondine
bluteaux,bluteaux,bluteaux
bobine de cuir,bobine de cuir,bobine de cuir
bocard de verre,bocard de verre,bocard de verre
bodans,bodans,bodans
boîtes de bois musqué,boîtes de bois musqué,boites de bois musque
boîtes à quadrilles,boîtes à quadrilles,boites a quadrilles
boîtes de bois d'olivier,boîtes de bois d'olivier,boites de bois d'olivier
boîtes de bois vernis,boîtes de bois vernis,boites de bois vernis
boîtes de coupure,boîtes de coupure,boites de coupure
boîtes de Nuremberg,boîtes de nuremberg,boites de nuremberg
boîtes de plomb,boîtes de plomb,boites de plomb
boîtes d'argent,boîtes d'argent,boites d'argent
boîtes vernies,boîtes vernies,boites vernies
boîtes de bergamotes vernies,boîtes de bergamotes vernies,boites de bergamotes vernies
bœuf gras et en chair,bœuf gras et en chair,boeuf gras et en chair
bœuf maigre,bœuf maigre,boeuf maigre
bœuftins et génisses,bœuftins et génisses,boeuftins et genisses
bois,bois,bois
bois à barils non scié,bois à barils non scié,bois a barils non scie
bois à barriques douelles,bois à barriques douelles,bois a barriques douelles
bois à barriques en douelles,bois à barriques en douelles,bois a barriques en douelles
bois à barils douelles,bois à barils douelles,bois a barils douelles
bois à barils en douelles,bois à barils en douelles,bois a barils en douelles
bois à barils à fond,bois à barils à fond,bois a barils a fond
bois à barils long,bois à barils long,bois a barils long
bois à barils ordinaire,bois à barils ordinaire,bois a barils ordinaire
bois à basse,bois à basse,bois a basse
bois à bâtir courbes de chêne,bois à bâtir courbes de chêne,bois a batir courbes de chene
bois à bâtir planches de chêne,bois à bâtir planches de chêne,bois a batir planches de chene
bois à bâts,bois à bâts,bois a bats
bois à bats,bois à bats,bois a bats
bois à bâtir de 14 pieds de long,bois à bâtir de 14 pieds de long,bois a batir de 14 pieds de long
bois à brûler cordes,bois à brûler cordes,bois a bruler cordes
bois à brûler de chêne,bois à brûler de chêne,bois a bruler de chene
bois à brûler de gite,bois à brûler de gite,bois a bruler de gite
bois à brûler d'orme,bois à brûler d'orme,bois a bruler d'orme
bois à brûler en ???,bois à brûler en ???,bois a bruler en ???
bois à brûler en facheaux,bois à brûler en facheaux,bois a bruler en facheaux
bois à brûler et fagots,bois à brûler et fagots,bois a bruler et fagots
bois à buis,bois à buis,bois a buis
bois acajou,bois acajou,bois acajou
bois à cannes,bois à cannes,bois a cannes
bois à chocolat,bois à chocolat,bois a chocolat
bois à construire ayant reçu une première main-d'œuvre impropre à la construction navale,bois à construire ayant reçu une première main-d'œuvre impropre à la construction navale,bois a construire ayant recu une premiere main-d'oeuvre impropre a la construction navale
bois à construire manche de fouines et pinceaux à goudron,bois à construire manche de fouines et pinceaux à goudron,bois a construire manche de fouines et pinceaux a goudron
bois à construire manche de gaffe de 6 centimètres inclusivement à 11 exclusivement,bois à construire manche de gaffe de 6 centimètres inclusivement à 11 exclusivement,bois a construire manche de gaffe de 6 centimetres inclusivement a 11 exclusivement
bois à construire manche de fouines et de pinceaux à goudron,bois à construire manche de fouines et de pinceaux à goudron,bois a construire manche de fouines et de pinceaux a goudron
bois à construire manche de gaffe de 6 à 11 centimètres,bois à construire manche de gaffe de 6 à 11 centimètres,bois a construire manche de gaffe de 6 a 11 centimetres
bois à construire manches de gaffes de 11 à 15 centimètres,bois à construire manches de gaffes de 11 à 15 centimètres,bois a construire manches de gaffes de 11 a 15 centimetres
bois à construire mâtereaux de 25 à 40 centimètres,bois à construire mâtereaux de 25 à 40 centimètres,bois a construire matereaux de 25 a 40 centimetres
bois à construire mâtereaux de 25 centimètres inclusivement à 40 exclusivement,bois à construire mâtereaux de 25 centimètres inclusivement à 40 exclusivement,bois a construire matereaux de 25 centimetres inclusivement a 40 exclusivement
bois à construire mâtereaux de 25 centimètres à 40,bois à construire mâtereaux de 25 centimètres à 40,bois a construire matereaux de 25 centimetres a 40
bois à construire pigouilles de 11 à 15,bois à construire pigouilles de 11 à 15,bois a construire pigouilles de 11 a 15
bois à construire scié ayant d'épaisseur 8 centimètres au moins,bois à construire scié ayant d'épaisseur 8 centimètres au moins,bois a construire scie ayant d'epaisseur 8 centimetres au moins
bois à construire scié ayant 8 centimètres d'épaisseur au moins,bois à construire scié ayant 8 centimètres d'épaisseur au moins,bois a construire scie ayant 8 centimetres d'epaisseur au moins
bois à construire scié ayant plus de 8 centimètres d'épaisseur,bois à construire scié ayant plus de 8 centimètres d'épaisseur,bois a construire scie ayant plus de 8 centimetres d'epaisseur
bois à construire scié ayant d'épaisseur 34 à 80 mm,bois à construire scié ayant d'épaisseur 34 à 80 mm,bois a construire scie ayant d'epaisseur 34 a 80 mm
bois à construire scié ayant d'épaisseur 8 centimètres ou moins,bois à construire scié ayant d'épaisseur 8 centimètres ou moins,bois a construire scie ayant d'epaisseur 8 centimetres ou moins
bois à construire scié ayant d'épaisseur moins de 34 et autres,bois à construire scié ayant d'épaisseur moins de 34 et autres,bois a construire scie ayant d'epaisseur moins de 34 et autres
bois à construire scié ayant d'épaisseur moins de 34 mm et planches dites schom,bois à construire scié ayant d'épaisseur moins de 34 mm et planches dites schom,bois a construire scie ayant d'epaisseur moins de 34 mm et planches dites schom
bois à construire scié ayant d'épaisseur plus de 80 mm,bois à construire scié ayant d'épaisseur plus de 80 mm,bois a construire scie ayant d'epaisseur plus de 80 mm
bois à corbeilles,bois à corbeilles,bois a corbeilles
bois à faire barils,bois à faire barils,bois a faire barils
bois à faire des barils en douelles,bois à faire des barils en douelles,bois a faire des barils en douelles
bois à faire boucles,bois à faire boucles,bois a faire boucles
bois à faire comble,bois à faire comble,bois a faire comble
bois à faire cribles,bois à faire cribles,bois a faire cribles
bois à faire gainer,bois à faire gainer,bois a faire gainer
bois à faire tamis,bois à faire tamis,bois a faire tamis
bois à faire étuis,bois à faire étuis,bois a faire etuis
bois à feu,bois à feu,bois a feu
bois à fonds en douelles,bois à fonds en douelles,bois a fonds en douelles
bois à faire violons,bois à faire violons,bois a faire violons
bois à gabares,bois à gabares,bois a gabares
bois à lit,bois à lit,bois a lit
bois aloès,bois aloès,bois aloes
bois à mâts,bois à mâts,bois a mats
bois à mâture,bois à mâture,bois a mature
bois à meubles en madriers,bois à meubles en madriers,bois a meubles en madriers
bois à meubler en madriers,bois à meubler en madriers,bois a meubler en madriers
bois à meubles,bois à meubles,bois a meubles
bois à meubles en billes,bois à meubles en billes,bois a meubles en billes
bois anspects barres,bois anspects barres,bois anspects barres
bois anspects en barres,bois anspects en barres,bois anspects en barres
bois à parquet,bois à parquet,bois a parquet
bois à pipes douelles,bois à pipes douelles,bois a pipes douelles
bois à poinçon,bois à poinçon,bois a poincon
bois à pompes,bois à pompes,bois a pompes
bois à quarts en douelles,bois à quarts en douelles,bois a quarts en douelles
bois à tanin,bois à tanin,bois a tanin
bois à tapis,bois à tapis,bois a tapis
bois à teindre de Pernambouc,bois à teindre de pernambouc,bois a teindre de pernambouc
bois à teindre de toute sorte,bois à teindre de toute sorte,bois a teindre de toute sorte
bois à teindre râpé,bois à teindre râpé,bois a teindre rape
bois à tierçons en douelles,bois à tierçons en douelles,bois a tiercons en douelles
bois à tonneaux douelles,bois à tonneaux douelles,bois a tonneaux douelles
bois à tourner,bois à tourner,bois a tourner
bois à travailler,bois à travailler,bois a travailler
bois au daumes,bois au daumes,bois au daumes
bois à visser,bois à visser,bois a visser
bois barres de cabestan,bois barres de cabestan,bois barres de cabestan
bois barres de guindeau,bois barres de guindeau,bois barres de guindeau
bois billots,bois billots,bois billots
bois blanc à faire sabots,bois blanc à faire sabots,bois blanc a faire sabots
bois boissellerie,bois boissellerie,bois boissellerie
bois bordage de sapin,bois bordage de sapin,bois bordage de sapin
bois bordage en douelles,bois bordage en douelles,bois bordage en douelles
bois boway de chêne,bois boway de chêne,bois boway de chene
bois boway de sapin,bois boway de sapin,bois boway de sapin
bois brandilles,bois brandilles,bois brandilles
bois brai,bois brai,bois brai
bois bresillet,bois bresillet,bois bresillet
bois brun,bois brun,bois brun
bois buis,bois buis,bois buis
bois Caliatour,bois caliatour,bois caliatour
bois Campêche,bois campêche,bois campeche
bois Campêche en bûches,bois campêche en bûches,bois campeche en buches
bois Campêche moulu,bois campêche moulu,bois campeche moulu
bois cavettes,bois cavettes,bois cavettes
bois chevrons,bois chevrons,bois chevrons
bois commun,bois commun,bois commun
bois commun de chêne et sans désignation d'espèce et scié,bois commun de chêne et sans désignation d'espèce et scié,bois commun de chene et sans designation d'espece et scie
bois commun de pin et sapin scié et de cham,bois commun de pin et sapin scié et de cham,bois commun de pin et sapin scie et de cham
bois commun de pin et sapin scié de plus de 80 mm d'épaisseur,bois commun de pin et sapin scié de plus de 80 mm d'épaisseur,bois commun de pin et sapin scie de plus de 80 mm d'epaisseur
bois commun de pin et sapin scié de 34 mm d'épaisseur,bois commun de pin et sapin scié de 34 mm d'épaisseur,bois commun de pin et sapin scie de 34 mm d'epaisseur
bois commun de pin et sapin brut ou équarri à la hache,bois commun de pin et sapin brut ou équarri à la hache,bois commun de pin et sapin brut ou equarri a la hache
bois corbin,bois corbin,bois corbin
bois cordayer,bois cordayer,bois cordayer
bois courbé,bois courbé,bois courbe
bois d'acajou baignoires,bois d'acajou baignoires,bois d'acajou baignoires
bois d'acajou chevrons de 8 pieds,bois d'acajou chevrons de 8 pieds,bois d'acajou chevrons de 8 pieds
bois d'acajou chevrons,bois d'acajou chevrons,bois d'acajou chevrons
bois d'acajou chevrons de 5 pieds,bois d'acajou chevrons de 5 pieds,bois d'acajou chevrons de 5 pieds
bois d'acajou chevrons de 6 pieds,bois d'acajou chevrons de 6 pieds,bois d'acajou chevrons de 6 pieds
bois d'acajou divers,bois d'acajou divers,bois d'acajou divers
bois d'acajou en morceaux,bois d'acajou en morceaux,bois d'acajou en morceaux
bois d'acajou à madriers,bois d'acajou à madriers,bois d'acajou a madriers
bois d'acajou madriers de 10 à 11 pieds,bois d'acajou madriers de 10 à 11 pieds,bois d'acajou madriers de 10 a 11 pieds
bois d'acajou madriers de 10 pieds,bois d'acajou madriers de 10 pieds,bois d'acajou madriers de 10 pieds
bois d'acajou madriers de 11 pieds,bois d'acajou madriers de 11 pieds,bois d'acajou madriers de 11 pieds
bois d'acajou madriers de 12 pieds,bois d'acajou madriers de 12 pieds,bois d'acajou madriers de 12 pieds
bois d'acajou madriers de 5 pieds,bois d'acajou madriers de 5 pieds,bois d'acajou madriers de 5 pieds
bois d'acajou madriers de 6 pieds,bois d'acajou madriers de 6 pieds,bois d'acajou madriers de 6 pieds
bois d'acajou madriers de 9 pieds,bois d'acajou madriers de 9 pieds,bois d'acajou madriers de 9 pieds
bois d'acajou mâtereaux de 7 à 8 pieds,bois d'acajou mâtereaux de 7 à 8 pieds,bois d'acajou matereaux de 7 a 8 pieds
bois d'acajou à planches,bois d'acajou à planches,bois d'acajou a planches
bois d'acajou planches de 8 pieds,bois d'acajou planches de 8 pieds,bois d'acajou planches de 8 pieds
bois d'alois,bois d'alois,bois d'alois
bois d'angeot,bois d'angeot,bois d'angeot
bois d'Angola,bois d'angola,bois d'angola
bois d'ansprete,bois d'ansprete,bois d'ansprete
bois d'arc et de fusils,bois d'arc et de fusils,bois d'arc et de fusils
bois d'arc,bois d'arc,bois d'arc
bois d'arc et d'arbalètes,bois d'arc et d'arbalètes,bois d'arc et d'arbaletes
bois d'arc et de selles,bois d'arc et de selles,bois d'arc et de selles
bois d'aspatton,bois d'aspatton,bois d'aspatton
bois de ???,bois de ???,bois de ???
bois de 5 pieds,bois de 5 pieds,bois de 5 pieds
bois de 5 pieds en douelles,bois de 5 pieds en douelles,bois de 5 pieds en douelles
bois de barriques,bois de barriques,bois de barriques
bois de bats,bois de bats,bois de bats
bois d'ébénisterie d'acajou brut ou équarri à la hache,bois d'ébénisterie d'acajou brut ou équarri à la hache,bois d'ebenisterie d'acajou brut ou equarri a la hache
bois d'ébénisterie d'acajou brut ou équarri à la hache des entrepôts français,bois d'ébénisterie d'acajou brut ou équarri à la hache des entrepôts français,bois d'ebenisterie d'acajou brut ou equarri a la hache des entrepots francais
bois d'ébénisterie de buis,bois d'ébénisterie de buis,bois d'ebenisterie de buis
bois d'ébénisterie de cèdre,bois d'ébénisterie de cèdre,bois d'ebenisterie de cedre
bois d'ébénisterie de gaïac,bois d'ébénisterie de gaïac,bois d'ebenisterie de gaiac
bois d'ébénisterie de gaïac des entrepôts,bois d'ébénisterie de gaïac des entrepôts,bois d'ebenisterie de gaiac des entrepots
bois d'ébénisterie sans désignation,bois d'ébénisterie sans désignation,bois d'ebenisterie sans designation
bois d'ébénisterie sans désignation et des entrepôts,bois d'ébénisterie sans désignation et des entrepôts,bois d'ebenisterie sans designation et des entrepots
bois d'ébénisterie sans distinction,bois d'ébénisterie sans distinction,bois d'ebenisterie sans distinction
bois d'ébénisterie scié,bois d'ébénisterie scié,bois d'ebenisterie scie
bois d'ébène en bûches,bois d'ébène en bûches,bois d'ebene en buches
bois de bois,bois de bois,bois de bois
bois de bordage en planches,bois de bordage en planches,bois de bordage en planches
bois de bordage de chêne,bois de bordage de chêne,bois de bordage de chene
bois de bordage de sapin,bois de bordage de sapin,bois de bordage de sapin
bois de Brésil en bûches,bois de brésil en bûches,bois de bresil en buches
bois du Brésil menu,bois du brésil menu,bois du bresil menu
bois du Brésil Pernambouc,bois du brésil pernambouc,bois du bresil pernambouc
bois du Brésil moulu,bois du brésil moulu,bois du bresil moulu
bois de brochialle,bois de brochialle,bois de brochialle
bois de buis boule,bois de buis boule,bois de buis boule
bois de buis ouvré,bois de buis ouvré,bois de buis ouvre
bois de buis en bûches,bois de buis en bûches,bois de buis en buches
bois de cabanière,bois de cabanière,bois de cabaniere
bois de cabestan,bois de cabestan,bois de cabestan
bois de Campêche en moulu,bois de campêche en moulu,bois de campeche en moulu
bois de camphre,bois de camphre,bois de camphre
bois de cannelle en morceaux,bois de cannelle en morceaux,bois de cannelle en morceaux
bois de canet,bois de canet,bois de canet
bois d'écarage,bois d'écarage,bois d'ecarage
bois de cèdre en madriers,bois de cèdre en madriers,bois de cedre en madriers
bois de cerf,bois de cerf,bois de cerf
bois de chacie de noyer,bois de chacie de noyer,bois de chacie de noyer
bois de charbonnage,bois de charbonnage,bois de charbonnage
bois de charouage,bois de charouage,bois de charouage
bois de charpente couvertures de maisons,bois de charpente couvertures de maisons,bois de charpente couvertures de maisons
bois de charron,bois de charron,bois de charron
bois de châtaignier en planches,bois de châtaignier en planches,bois de chataignier en planches
bois de châtaignier,bois de châtaignier,bois de chataignier
bois de châtaigner,bois de châtaigner,bois de chataigner
bois de chauffage,bois de chauffage,bois de chauffage
bois ??? de chêne,bois ??? de chêne,bois ??? de chene
bois de chêne à poutres,bois de chêne à poutres,bois de chene a poutres
bois de chêne à sommiers,bois de chêne à sommiers,bois de chene a sommiers
bois de chêne bordage,bois de chêne bordage,bois de chene bordage
bois de chêne bourdilles,bois de chêne bourdilles,bois de chene bourdilles
bois de chêne bouts de 6 pieds,bois de chêne bouts de 6 pieds,bois de chene bouts de 6 pieds
bois de chêne chevrons,bois de chêne chevrons,bois de chene chevrons
bois de chêne courbé pour construction navale,bois de chêne courbé pour construction navale,bois de chene courbe pour construction navale
bois de chêne de 30 à 40 pieds,bois de chêne de 30 à 40 pieds,bois de chene de 30 a 40 pieds
bois de chêne de 40 pieds,bois de chêne de 40 pieds,bois de chene de 40 pieds
bois de chêne de construction,bois de chêne de construction,bois de chene de construction
bois de chêne en douelles,bois de chêne en douelles,bois de chene en douelles
bois de chêne en lattes,bois de chêne en lattes,bois de chene en lattes
bois de chêne merrains,bois de chêne merrains,bois de chene merrains
bois de chêne planches,bois de chêne planches,bois de chene planches
bois de chêne pour bordage,bois de chêne pour bordage,bois de chene pour bordage
bois de chêne scié,bois de chêne scié,bois de chene scie
bois de chêne à bâtir,bois de chêne à bâtir,bois de chene a batir
bois de chêne à battes,bois de chêne à battes,bois de chene a battes
bois de chêne de 30 pieds,bois de chêne de 30 pieds,bois de chene de 30 pieds
bois de chêne de 5 pieds morceaux,bois de chêne de 5 pieds morceaux,bois de chene de 5 pieds morceaux
bois de chêne d'équarrissage,bois de chêne d'équarrissage,bois de chene d'equarrissage
bois de chêne en bouts,bois de chêne en bouts,bois de chene en bouts
bois de chênes en douelles,bois de chênes en douelles,bois de chenes en douelles
bois de chêne en morceaux,bois de chêne en morceaux,bois de chene en morceaux
bois de chêne morceaux,bois de chêne morceaux,bois de chene morceaux
bois de chêne ouvré,bois de chêne ouvré,bois de chene ouvre
bois de chêne de charpente,bois de chêne de charpente,bois de chene de charpente
bois de chêne 30 pieds,bois de chêne 30 pieds,bois de chene 30 pieds
bois de chêne suivant la longueur,bois de chêne suivant la longueur,bois de chene suivant la longueur
bois de clafou,bois de clafou,bois de clafou
bois de cleippe,bois de cleippe,bois de cleippe
bois de coco,bois de coco,bois de coco
bois de Constantine,bois de constantine,bois de constantine
bois de construction bois de marine,bois de construction bois de marine,bois de construction bois de marine
bois de construction bois de buis,bois de construction bois de buis,bois de construction bois de buis
bois de construction bois de buis en bûches,bois de construction bois de buis en bûches,bois de construction bois de buis en buches
bois de construction bordage de chêne,bois de construction bordage de chêne,bois de construction bordage de chene
bois de construction bordage de sapin,bois de construction bordage de sapin,bois de construction bordage de sapin
bois de construction courbe de chêne,bois de construction courbe de chêne,bois de construction courbe de chene
bois de construction de 40 pieds,bois de construction de 40 pieds,bois de construction de 40 pieds
bois de construction de pin (doublage de),bois de construction de pin (doublage de),bois de construction de pin (doublage de)
bois de construction de toute sorte,bois de construction de toute sorte,bois de construction de toute sorte
