name_orthographic,lowercase_name
bas coton,bas coton
bas coton et fil,bas coton et fil
bas de bourre de soie,bas de bourre de soie
bas de castor,bas de castor
bas de fil commun,bas de fil commun
bas de fil pour femme,bas de fil pour femme
bas de Ségovie,bas de ségovie
bas de soie à coins d'or,bas de soie à coins d'or
bas d'estame fins,bas d'estame fins
bas gants et bonnets de laine,bas gants et bonnets de laine
bas gants et bonnets de laine fil et coton,bas gants et bonnets de laine fil et coton
basin fil et coton,basin fil et coton
bassons,bassons
batavia,batavia
bâtiments de mer et apparaux,bâtiments de mer et apparaux
bâtons à chandelle,bâtons à chandelle
bâtons de bois,bâtons de bois
bâtons de colliers,bâtons de colliers
bâtons lave-places,bâtons lave-places
bâts à mulets,bâts à mulets
bâts d'ânes,bâts d'ânes
bâts de mulets,bâts de mulets
batterie de cuivre,batterie de cuivre
baudriers de cuir,baudriers de cuir
baume de vie,baume de vie
baume storax préparé liquide,baume storax préparé liquide
bayette des prises,bayette des prises
basanes tannées en peaux,basanes tannées en peaux
baume de Sucre,baume de sucre
beau vert broyé,beau vert broyé
billes de bois,billes de bois
billons de bois,billons de bois
bénitier de marbre,bénitier de marbre
berceau d'enfant,berceau d'enfant
bernes de laine,bernes de laine
bestiaux ânes,bestiaux ânes
bestiaux bœuf,bestiaux bœuf
bestiaux boucs,bestiaux boucs
bestiaux bœuf et vaches,bestiaux bœuf et vaches
bestiaux chèvres et boucs,bestiaux chèvres et boucs
bestiaux cochons petits,bestiaux cochons petits
bestiaux de somme chevaux,bestiaux de somme chevaux
bestiaux divers moutons et brebis,bestiaux divers moutons et brebis
bestiaux divers poulains,bestiaux divers poulains
bestiaux en agneaux,bestiaux en agneaux
bestiaux en bœufs,bestiaux en bœufs
bestiaux en boucs,bestiaux en boucs
bestiaux en bœuf,bestiaux en bœuf
bestiaux en bœuf gras,bestiaux en bœuf gras
bestiaux en bœufs vaches porcs et moutons,bestiaux en bœufs vaches porcs et moutons
bestiaux en génisses,bestiaux en génisses
bestiaux en moutons,bestiaux en moutons
bestiaux en porcs,bestiaux en porcs
bestiaux en porcs et porcelets,bestiaux en porcs et porcelets
bestiaux et bêtes de somme bœuf,bestiaux et bêtes de somme bœuf
bestiaux et bêtes de somme brebis,bestiaux et bêtes de somme brebis
bestiaux et bêtes de somme bœufs,bestiaux et bêtes de somme bœufs
bestiaux et bêtes de somme génisses,bestiaux et bêtes de somme génisses
bestiaux et bêtes de somme juments,bestiaux et bêtes de somme juments
bestiaux et bêtes de somme mules,bestiaux et bêtes de somme mules
bestiaux et bêtes de somme mules et mulets,bestiaux et bêtes de somme mules et mulets
bestiaux et bêtes de somme taureaux,bestiaux et bêtes de somme taureaux
bestiaux mules et mulets,bestiaux mules et mulets
bestiaux porcelets,bestiaux porcelets
bestiaux porcs,bestiaux porcs
bestiaux poulains,bestiaux poulains
bêtes de somme diverses,bêtes de somme diverses
bêtes de somme mulets,bêtes de somme mulets
betteraves,betteraves
bœuf taureaux,bœuf taureaux
beurre d'Irlande,beurre d'irlande
beurre et fromage,beurre et fromage
bière et cidre,bière et cidre
bière cidre et vinaigre,bière cidre et vinaigre
bière d'Angleterre,bière d'angleterre
bière de Liège d'Angleterre etc.,bière de liège d'angleterre etc.
bignon,bignon
bijouterie d'argent,bijouterie d'argent
bijouterie diamants perles et pierres fines,bijouterie diamants perles et pierres fines
bijouterie diamants perles et pierres fines montés ou non montés,bijouterie diamants perles et pierres fines montés ou non montés
bijouterie diverse,bijouterie diverse
bijouterie d'or,bijouterie d'or
bijouterie fine,bijouterie fine
bilardeaux weres etc.,bilardeaux weres etc.
billes de bois marbré,billes de bois marbré
billets,billets
billets de parchemin,billets de parchemin
billons,billons
billons de bois blanc,billons de bois blanc
billons de sapin,billons de sapin
bismuth (étain de glace),bismuth (étain de glace)
blanc,blanc
blanc d'écaille,blanc d'écaille
blanc d'Espagne craie blanche et moulue,blanc d'espagne craie blanche et moulue
blanchissoire,blanchissoire
blanquette,blanquette
blé avarié,blé avarié
blé de froment,blé de froment
blé de Turquie,blé de turquie
blé et autres grains comestibles,blé et autres grains comestibles
bleu de Prusse et lazulite,bleu de prusse et lazulite
blocs,blocs
blonde,blonde
boîtes blanches,boîtes blanches
boîtes de quadrilles,boîtes de quadrilles
boîtes peintes,boîtes peintes
bœuf et taureaux,bœuf et taureaux
bois ???,bois ???
bois à banquière,bois à banquière
bois à barriques,bois à barriques
bois à bâtisse,bois à bâtisse
bois à brûler et autres,bois à brûler et autres
bois à construire espars de 15 à 25 centimètres,bois à construire espars de 15 à 25 centimètres
bois à construire espars de 15 centimètres inclusivement à 25 exclusivement,bois à construire espars de 15 centimètres inclusivement à 25 exclusivement
bois à construire manche de gaffe de 11 centimètres inclusivement à 15 exclusivement,bois à construire manche de gaffe de 11 centimètres inclusivement à 15 exclusivement
bois à construire scié ayant d'épaisseur plus de 8 centimètres,bois à construire scié ayant d'épaisseur plus de 8 centimètres
bois à corbin,bois à corbin
bois à faire bats,bois à faire bats
bois à faire paniers,bois à faire paniers
bois à faire tonneaux,bois à faire tonneaux
bois à faire fourreaux,bois à faire fourreaux
bois à fonds,bois à fonds
bois à fusils,bois à fusils
bois à gaine,bois à gaine
bois amer,bois amer
bois à pipes en douelles,bois à pipes en douelles
bois à quarts,bois à quarts
bois à tierçons,bois à tierçons
bois bardage,bois bardage
bois blanc,bois blanc
bourdillons de bois,bourdillons de bois
bois cercles,bois cercles
bois d'acajou en chevrons,bois d'acajou en chevrons
bois d'acajou planches,bois d'acajou planches
bois d'amarante,bois d'amarante
bois d'Angeot,bois d'angeot
bois d'ébénisterie d'acajou brut,bois d'ébénisterie d'acajou brut
bois d'ébénisterie d'acajou scié,bois d'ébénisterie d'acajou scié
bois d'ébénisterie de cail-cédra,bois d'ébénisterie de cail-cédra
bois du Brésil Sainte-Marthe,bois du brésil sainte-marthe
bois de cannelle,bois de cannelle
bois de cerisier,bois de cerisier
bois de chêne en bordages,bois de chêne en bordages
bois de chevrons,bois de chevrons
bois de Pernambouc râpé,bois de pernambouc râpé
bois de fauteuils,bois de fauteuils
bois de fer,bois de fer
bois de férole,bois de férole
bois de feuillards,bois de feuillards
bois de flèches arc etc.,bois de flèches arc etc.
bois de frêne,bois de frêne
bois de gabares,bois de gabares
bois de grenade,bois de grenade
bois de grenadille,bois de grenadille
bois de lin,bois de lin
bois de merisier,bois de merisier
bois de noyer en planches,bois de noyer en planches
bois de pin,bois de pin
bois de pin en planches,bois de pin en planches
bois de Provence Pernambouc et Campêche,bois de provence pernambouc et campêche
bois de roulage,bois de roulage
bois de Sainte-Marthe en bûches,bois de sainte-marthe en bûches
bois de Sainte-Marthe moulu,bois de sainte-marthe moulu
bois de sapin peint,bois de sapin peint
bois des Indes d'ébène,bois des indes d'ébène
bois des Indes du Brésil,bois des indes du brésil
bois des Indes de Sainte-Marthe,bois des indes de sainte-marthe
bois des Îles divers,bois des îles divers
bois des Îles et des Indes de Pernambouc,bois des îles et des indes de pernambouc
bois de teinture moulus Pernambouc,bois de teinture moulus pernambouc
bois de tilleul,bois de tilleul
bois de toute sorte,bois de toute sorte
bois d'éventails,bois d'éventails
bois des Indes de Caliatour,bois des indes de caliatour
bois des Indes de Pernambouc,bois des indes de pernambouc
bois des Indes de fustet,bois des indes de fustet
bois des Indes pour peintures et marqueterie de Sainte-Marthe,bois des indes pour peintures et marqueterie de sainte-marthe
bois des Indes pour peintures et marqueterie de santal,bois des indes pour peintures et marqueterie de santal
bois des Indes pour peintures et marqueterie rouge,bois des indes pour peintures et marqueterie rouge
bois des Indes pour teinture et marqueterie d'acajou,bois des indes pour teinture et marqueterie d'acajou
bois des Indes pour teinture et marqueterie du Brésil,bois des indes pour teinture et marqueterie du brésil
bois des Indes pour teinture et marqueterie divers,bois des indes pour teinture et marqueterie divers
bois dit ricter,bois dit ricter
bois divers pour construction,bois divers pour construction
bois d'orignal,bois d'orignal
bois d'orme,bois d'orme
bois de Brésil,bois de brésil
bois en barres,bois en barres
bois en bordage,bois en bordage
bois en bûches,bois en bûches
bois en corde,bois en corde
bois en éclisses,bois en éclisses
bois en lattes,bois en lattes
bois en matériaux,bois en matériaux
bois en mâts,bois en mâts
bois en perches,bois en perches
bois en planches de sapin,bois en planches de sapin
bois en planches de chêne,bois en planches de chêne
bois en poutres,bois en poutres
bois espars de 40 à 50 pieds,bois espars de 40 à 50 pieds
bois Pernambouc,bois pernambouc
bois feuillards de 2 mètres de longueur et au-dessous,bois feuillards de 2 mètres de longueur et au-dessous
bois jaune moulu,bois jaune moulu
bois marbré en bûches,bois marbré en bûches
bois mêlé,bois mêlé
bois merrains en feuillards,bois merrains en feuillards
bois merrains à botte,bois merrains à botte
bois merrains à buses,bois merrains à buses
bois merrains à fonds douelles,bois merrains à fonds douelles
bois merrains à tierçons en douelles,bois merrains à tierçons en douelles
bois merrains en chêne,bois merrains en chêne
bois moulu,bois moulu
bois odorants d'aloès,bois odorants d'aloès
bois ouvré boisellerie,bois ouvré boisellerie
bois perible,bois perible
bois planches,bois planches
bois planches de sapin,bois planches de sapin
bois pour cercle,bois pour cercle
bois pour mâtures,bois pour mâtures
bois pour meubles,bois pour meubles
bois rozard,bois rozard
bois rozat,bois rozat
bois santal,bois santal
bois sapin,bois sapin
bois scié en planches,bois scié en planches
bois tropique,bois tropique
bois vert,bois vert
bol commun,bol commun
bonnets de blonde,bonnets de blonde
bonneterie bas de fil,bonneterie bas de fil
bonneterie bonnets de fil,bonneterie bonnets de fil
bonneterie bonnets de coton,bonneterie bonnets de coton
bonneterie de coton bonnets,bonneterie de coton bonnets
bonneterie de coton en bas,bonneterie de coton en bas
bonneterie de soie diverse,bonneterie de soie diverse
bonneterie gants,bonneterie gants
bonnets brodés d'or,bonnets brodés d'or
bonnets de basin,bonnets de basin
bonnets de castor,bonnets de castor
bonnets de laine de Ségovie,bonnets de laine de ségovie
bonnets de laine fins,bonnets de laine fins
bonnets de paille,bonnets de paille
bonnets d'enfant de velours et bonnets à la postillonne,bonnets d'enfant de velours et bonnets à la postillonne
bonnets de taffetas,bonnets de taffetas
bonnets d'étoffe,bonnets d'étoffe
bonnets écarlates,bonnets écarlates
bonnets piqués carcasse et fer à coiffures,bonnets piqués carcasse et fer à coiffures
borax brut,borax brut
borax gras,borax gras
bordage,bordage
bordures dorées,bordures dorées
bottines de cuir,bottines de cuir
bottes bottines,bottes bottines
bottes de bergamote,bottes de bergamote
bottes neuves,bottes neuves
boucs,boucs
boucassin rouge,boucassin rouge
boucaud vide,boucaud vide
bouchons,bouchons
bouchons liège,bouchons liège
boucles d'argent,boucles d'argent
boucles de cuivre,boucles de cuivre
boucles de fer,boucles de fer
boucs et chèvres,boucs et chèvres
boudrillons,boudrillons
bougie,bougie
bougie blanche,bougie blanche
bougie de blanc de baleine,bougie de blanc de baleine
bougie et cierges de cire blanche,bougie et cierges de cire blanche
bougie jaune,bougie jaune
boules de mail,boules de mail
boulets,boulets
boulets de canons de fer,boulets de canons de fer
boulets de fer,boulets de fer
boulets de marbre,boulets de marbre
boulettes de marbre,boulettes de marbre
boules de marbre pour jouets d'enfant,boules de marbre pour jouets d'enfant
bourde,bourde
bourde à cheveux,bourde à cheveux
bourdilles à barriques,bourdilles à barriques
bourdillons,bourdillons
bourriques,bourriques
bourlets,bourlets
bourre chiquette,bourre chiquette
bourre de vache,bourre de vache
bourre coton et soie,bourre coton et soie
bourses du Levant,bourses du levant
bourses à perruques,bourses à perruques
bourses or et argent,bourses or et argent
boussoles,boussoles
boutanne toile,boutanne toile
bouteilles,bouteilles
bouteilles en verre,bouteilles en verre
bouteilles de verre à virole d'étain,bouteilles de verre à virole d'étain
bouteilles petites à virole d'étain,bouteilles petites à virole d'étain
bouteilles pleines,bouteilles pleines
boutons de bois,boutons de bois
boutons de fil or,boutons de fil or
boutons de nacre,boutons de nacre
boutons d'or filé,boutons d'or filé
boutonnières d'or,boutonnières d'or
boutons à pierres fausses,boutons à pierres fausses
boutons argentés,boutons argentés
boutons d'acier,boutons d'acier
boutons d'argent,boutons d'argent
boutons de cuivre sur bois et d'os de coco et de corne,boutons de cuivre sur bois et d'os de coco et de corne
boutons de fil d'or trait,boutons de fil d'or trait
boutons de manches,boutons de manches
boutons de verre,boutons de verre
boutons d'or faux,boutons d'or faux
boutons dorure d'or faux,boutons dorure d'or faux
boutons dorure d'or et argent,boutons dorure d'or et argent
boutons d'os,boutons d'os
bouts de corne,bouts de corne
boyaux secs et préparés,boyaux secs et préparés
brai goudron résines,brai goudron résines
brai gras goudron et résines,brai gras goudron et résines
brai térébenthine,brai térébenthine
brancards,brancards
brandamis,brandamis
brandans,brandans
brandebourg d'or,brandebourg d'or
bras de cheminée,bras de cheminée
braudans,braudans
brai en poix résines,brai en poix résines
brai et résines,brai et résines
brai ??? goudron,brai ??? goudron
brai goudron etc. brai et goudron,brai goudron etc. brai et goudron
brai goudron résines brai,brai goudron résines brai
brai goudron résines et poix brai,brai goudron résines et poix brai
brai goudron résines et poix goudron,brai goudron résines et poix goudron
brai goudron résines et poix résines,brai goudron résines et poix résines
brai gros,brai gros
brides,brides
Brignoles,brignoles
briques,briques
briques de terre,briques de terre
briques en tuiles plates,briques en tuiles plates
briquet,briquet
broderie,broderie
bronze,bronze
broole,broole
brosses à goudron,brosses à goudron
brou de noix,brou de noix
bruimes d'espars,bruimes d'espars
bruyère et racines à vergettes,bruyère et racines à vergettes
bulbes et oignons,bulbes et oignons
burat de laine,burat de laine
bœuf en daube,bœuf en daube
bœuf et vaches,bœuf et vaches
cabarets de sapin,cabarets de sapin
cabarets à café,cabarets à café
cabarets des Indes vernis,cabarets des indes vernis
cabarets façon de la Chine,cabarets façon de la chine
cabas,cabas
cabine peinte,cabine peinte
cabinet,cabinet
cabinet peint,cabinet peint
cabinet verni,cabinet verni
caboches de fer,caboches de fer
cabosse,cabosse
cacao en grains,cacao en grains
cachou,cachou
cachou brut,cachou brut
cadenas de fer,cadenas de fer
cadenas petits,cadenas petits
cadis,cadis
quadrilles,quadrilles
café divers,café divers
caffart carpette et ligatures,caffart carpette et ligatures
caffart carpette et ligatures aune,caffart carpette et ligatures aune
caffart,caffart
caffatines,caffatines
café en parchemin,café en parchemin
cafetières de fer-blanc,cafetières de fer-blanc
cages à oiseaux,cages à oiseaux
cages à perroquets,cages à perroquets
caisse vide,caisse vide
calamine,calamine
calbas,calbas
caleçons,caleçons
callemande de Lille,callemande de lille
callemande d'Amiens,callemande d'amiens
camelot de laine et soie,camelot de laine et soie
camisoles de laine,camisoles de laine
calmotte,calmotte
calotte de prêtre,calotte de prêtre
cambaye,cambaye
Cambrai,cambrai
camelot au quart de soie,camelot au quart de soie
camelot au sixième de soie,camelot au sixième de soie
camelot avec soie,camelot avec soie
camelot des Indes,camelot des indes
camelot de Hollande,camelot de hollande
camelot mêlé de soie,camelot mêlé de soie
camelot poil et soie,camelot poil et soie
camphre brut,camphre brut
canards,canards
canevettes vides,canevettes vides
chandeliers de cuivre,chandeliers de cuivre
canefice ou casse,canefice ou casse
cane garnie,cane garnie
cannelle de bois,cannelle de bois
cannelle ordinaire,cannelle ordinaire
cannes vernies,cannes vernies
cannetilles,cannetilles
cannettes,cannettes
cannettes de grès couvertes d'étain,cannettes de grès couvertes d'étain
canevas de fil,canevas de fil
cannes,cannes
cannes de bois,cannes de bois
cannettes en grès,cannettes en grès
canons,canons
canons et balles de fer en livres,canons et balles de fer en livres
canonnières de cantil,canonnières de cantil
canons de fer de 12 livres de balle,canons de fer de 12 livres de balle
canons de fer de 4 livres de calibre,canons de fer de 4 livres de calibre
canons de fer de 6 livres de balle,canons de fer de 6 livres de balle
canons de fer vieux,canons de fer vieux
carny,carny
caparaçons,caparaçons
capillaire en herbes,capillaire en herbes
capotes,capotes
câpres et anchois,câpres et anchois
caractères d'imprimerie hors d'usage,caractères d'imprimerie hors d'usage
casaques,casaques
carreaux,carreaux
carbonate d'ammoniaque (sel volatil),carbonate d'ammoniaque (sel volatil)
carbonate de magnésie,carbonate de magnésie
carbonate de plomb pur ou mélangé (céruse),carbonate de plomb pur ou mélangé (céruse)
cardes neuves,cardes neuves
cardines,cardines
cardon,cardon
cari,cari
carisel,carisel
carnasse,carnasse
carpeaux alevins,carpeaux alevins
carpette,carpette
carreaux à dentelle,carreaux à dentelle
carreaux bleus,carreaux bleus
carreaux moulage,carreaux moulage
carton,carton
carton moulé dit papier mâché,carton moulé dit papier mâché
casaques de peau,casaques de peau
casaques et camisoles,casaques et camisoles
cassis,cassis
casse remède,casse remède
cassia fistula,cassia fistula
cassoles,cassoles
cassube,cassube
castor,castor
causels de bois,causels de bois
causels pour bars,causels pour bars
cavelle de bois,cavelle de bois
caves à flacons,caves à flacons
caves avec leurs flacons,caves avec leurs flacons
caves de flacons,caves de flacons
caves garnies assorties,caves garnies assorties
cavial,cavial
ceintures de coton,ceintures de coton
ceinturons,ceinturons
ceinturons bandoulières et gibernes,ceinturons bandoulières et gibernes
ceinturons unis,ceinturons unis
cendre à fumer,cendre à fumer
cendre à savon,cendre à savon
cendre calcinée,cendre calcinée
cendre cassant,cendre cassant
cendre de courbe,cendre de courbe
cendre de goëmon,cendre de goëmon
cendre de grignon,cendre de grignon
cendre de tabac,cendre de tabac
cendre de verre,cendre de verre
cendre gravelle,cendre gravelle
cendre diverse potasse védasse et gravelée,cendre diverse potasse védasse et gravelée
cendre vedasse,cendre vedasse
cendre gravelée potasse védasse etc.,cendre gravelée potasse védasse etc.
cendre lessivée,cendre lessivée
cendre verte,cendre verte
censes de bois,censes de bois
cercelat,cercelat
cercles,cercles
cercles à bobillons,cercles à bobillons
cercles à relier,cercles à relier
cercles à tonneaux en roues,cercles à tonneaux en roues
cercles de bois à barils,cercles de bois à barils
cercles de bois à pipes,cercles de bois à pipes
cercles de bois en roues,cercles de bois en roues
cercles en bois,cercles en bois
céruse et blanc de plomb,céruse et blanc de plomb
céruse ou blanc de plomb,céruse ou blanc de plomb
chalons,chalons
chagrin de soie,chagrin de soie
chaînes de montres,chaînes de montres
chair cuisses d'oie,chair cuisses d'oie
chair de bœuf,chair de bœuf
chair de porcs en jambon,chair de porcs en jambon
chair de porcs jambon,chair de porcs jambon
chair de porcs lard,chair de porcs lard
chair de porcs saucissons,chair de porcs saucissons
chair diverse,chair diverse
chair fraîche,chair fraîche
chair salée chair de porcs salés,chair salée chair de porcs salés
chair salée de porcs salés diverse,chair salée de porcs salés diverse
chair salée de toute sorte,chair salée de toute sorte
chair salée petit salé,chair salée petit salé
chair fraîche et salée,chair fraîche et salée
chair salée de porcs,chair salée de porcs
chair salée bœuf fumé,chair salée bœuf fumé
chair salée de porcs en lard,chair salée de porcs en lard
chaises de bois,chaises de bois
chaises communes,chaises communes
chaises de commodité avec leurs pots,chaises de commodité avec leurs pots
chaises de fer,chaises de fer
chaises de noyer,chaises de noyer
chaises de paille chaises,chaises de paille chaises
chaises de paille en fauteuils,chaises de paille en fauteuils
chaises et fauteuils de jonc,chaises et fauteuils de jonc
chaises et fauteuils de paille,chaises et fauteuils de paille
champignons confits,champignons confits
champignons secs,champignons secs
chaudrons de cuivre,chaudrons de cuivre
chanvre en tiges brutes vertes sèches ou roules,chanvre en tiges brutes vertes sèches ou roules
chapeaux,chapeaux
chapeaux anglais,chapeaux anglais
chapeaux de paille et d'écorce de bois,chapeaux de paille et d'écorce de bois
chapeaux bordés d'or et argent,chapeaux bordés d'or et argent
chapeaux brodés d'argent,chapeaux brodés d'argent
chapeaux castor bordés,chapeaux castor bordés
chapeaux castor non bordés,chapeaux castor non bordés
chapeaux castor vernis,chapeaux castor vernis
chapeaux dauphins,chapeaux dauphins
chapeaux de castor bordés or et argent,chapeaux de castor bordés or et argent
chapeaux de femme,chapeaux de femme
chapeaux de laine communs,chapeaux de laine communs
chapeaux de laine pour nègre,chapeaux de laine pour nègre
chapeaux de nègre,chapeaux de nègre
chapeaux de paille d'écorce et de sparte grossiers,chapeaux de paille d'écorce et de sparte grossiers
chapeaux de paille de riz,chapeaux de paille de riz
chapeaux de paille et d'écorce,chapeaux de paille et d'écorce
chapeaux de paille grossiers,chapeaux de paille grossiers
chapeaux des prises,chapeaux des prises
chapeaux de satin,chapeaux de satin
chapeaux de soie,chapeaux de soie
chapeaux en laine,chapeaux en laine
chapeaux en paille,chapeaux en paille
chapeaux fins,chapeaux fins
chapeaux grossiers,chapeaux grossiers
chapeaux laine,chapeaux laine
chapeaux Maine,chapeaux maine
chapeaux mêlés,chapeaux mêlés
chapeaux nègre,chapeaux nègre
chapeaux ordinaires,chapeaux ordinaires
chapeaux perse,chapeaux perse
chapeaux poil à laine,chapeaux poil à laine
chapelets de coco,chapelets de coco
chaplas,chaplas
chapons gras,chapons gras
charbon,charbon
charbon de pin,charbon de pin
charbon de terre et de bois,charbon de terre et de bois
chardons,chardons
chardons cardère,chardons cardère
charlotonne,charlotonne
chasuble,chasuble
chauderie de fer,chauderie de fer
chaudière à guildives,chaudière à guildives
chaudière de potin,chaudière de potin
chaudron,chaudron
chaudron d'airain,chaudron d'airain
chaudron de fer,chaudron de fer
chaudron de cuivre jaune,chaudron de cuivre jaune
chaussettes de toile,chaussettes de toile
chaussettes de coton,chaussettes de coton
chaussons de fil,chaussons de fil
chaussons de laine,chaussons de laine
chaux à bâtir,chaux à bâtir
chaux éteinte,chaux éteinte
chaux vive,chaux vive
chelöes,chelöes
chemises,chemises
chemises brodées,chemises brodées
chemises de lin garnies,chemises de lin garnies
chemises bleues,chemises bleues
chemises de Laval,chemises de laval
chemises de lin,chemises de lin
chemises de toile,chemises de toile
chemises de toile bretonne,chemises de toile bretonne
chemises de toile de Bretagne garnies,chemises de toile de bretagne garnies
chemises de toile de Laval,chemises de toile de laval
chemises de toile guingans,chemises de toile guingans
chemises de toile rayée,chemises de toile rayée
chemises d'homme,chemises d'homme
chemises fines garnies,chemises fines garnies
chemises garnies de batiste,chemises garnies de batiste
chemises pour homme,chemises pour homme
chemises toile de lin,chemises toile de lin
chemisettes,chemisettes
chenille de bois,chenille de bois
chevrons de sapin de 12 pieds,chevrons de sapin de 12 pieds
chevaux hongres,chevaux hongres
chevrons de sapin de 40 pieds,chevrons de sapin de 40 pieds
cheville de bois,cheville de bois
chevrons de chêne de 18 pieds,chevrons de chêne de 18 pieds
chevrons de 18 pieds,chevrons de 18 pieds
chevrons de bois,chevrons de bois
chevrons de sapin de 14 pieds,chevrons de sapin de 14 pieds
chevrons de sapin de 20 pieds,chevrons de sapin de 20 pieds
chevrons de sapin de 8 pieds,chevrons de sapin de 8 pieds
chevrons de sapin de 10 pieds,chevrons de sapin de 10 pieds
chicotin,chicotin
chiens,chiens
chinois,chinois
choux confits,choux confits
choux-fleurs cabus et artichauts,choux-fleurs cabus et artichauts
cidre,cidre
cire vierge,cire vierge
cierges de cire blanche,cierges de cire blanche
cygnes,cygnes
cire,cire
cire de bougie,cire de bougie
cire en branche,cire en branche
cire en pain,cire en pain
cire jaune et blanche,cire jaune et blanche
cire non ouvrée blanche,cire non ouvrée blanche
citrons et orange,citrons et orange
ciseaux,ciseaux
citrons,citrons
citrons et limons,citrons et limons
civette,civette
clavecin psalterion épinettes,clavecin psalterion épinettes
cloches,cloches
cloches de verre,cloches de verre
cloches en fonte,cloches en fonte
clochettes,clochettes
clochettes de fonte,clochettes de fonte
clous en fer,clous en fer
clous vieux,clous vieux
clous de caboche,clous de caboche
cobalt grillé (safre),cobalt grillé (safre)
cobalt métal,cobalt métal
cochelis,cochelis
cochenille en grabeau,cochenille en grabeau
cochon,cochon
cocos,cocos
cocos des Indes,cocos des indes
cocons,cocons
cocos du Levant,cocos du levant
cocos verts,cocos verts
coiffes à perruques,coiffes à perruques
cœurs de bœuf,cœurs de bœuf
coffres,coffres
coffres de sapin,coffres de sapin
coffres peints,coffres peints
coffres de bois,coffres de bois
coiffures pour femme,coiffures pour femme
colliers de femme,colliers de femme
colliers de jais,colliers de jais
colliers de perles,colliers de perles
colle,colle
colle à papier,colle à papier
colle forte de poisson,colle forte de poisson
colle de toute sorte,colle de toute sorte
colonne,colonne
comestibles,comestibles
comestibles beurre,comestibles beurre
comestibles divers,comestibles divers
commode d'acajou,commode d'acajou
compas de cuivre,compas de cuivre
compas de mer,compas de mer
cordonnet de fil,cordonnet de fil
confection,confection
confection d'alkermès,confection d'alkermès
congres,congres
conterie,conterie
coque de coco,coque de coco
coquillage,coquillage
coquillage de mer,coquillage de mer
coquilles écaille de tortue et nacre de perle,coquilles écaille de tortue et nacre de perle
corail blanc,corail blanc
corail en filières,corail en filières
corail fin ouvré,corail fin ouvré
corail gros,corail gros
corail grossier,corail grossier
corail rouge,corail rouge
corail taillé non monté,corail taillé non monté
corbeilles,corbeilles
corsets baleinés,corsets baleinés
corsets de toile,corsets de toile
cordage de chanvre neuf,cordage de chanvre neuf
cordage de chanvre vieux,cordage de chanvre vieux
cordage de thil,cordage de thil
cordage en chanvre,cordage en chanvre
cordage en ficelle,cordage en ficelle
corde d'emballage,corde d'emballage
cordellerie,cordellerie
cordes à arçons,cordes à arçons
cordes à carder,cordes à carder
cordes à fouets,cordes à fouets
cordes à instruments,cordes à instruments
cordes câble et ficelles,cordes câble et ficelles
cordes de thil,cordes de thil
cordes de jonc,cordes de jonc
cordes et boyaux,cordes et boyaux
cordes et ficelles,cordes et ficelles
cordes vieilles,cordes vieilles
cordes violons,cordes violons
cordonnet de poil,cordonnet de poil
cordons de filoselle,cordons de filoselle
cordons de montres,cordons de montres
cordons de soie,cordons de soie
cordons de soie or et argent,cordons de soie or et argent
cordons or et argent,cordons or et argent
cordouans en basanes,cordouans en basanes
cornalines montées en or,cornalines montées en or
cornes de bœuf et vache,cornes de bœuf et vache
cornes de cerf en morceaux,cornes de cerf en morceaux
cornes de lanternes,cornes de lanternes
cornes de bétail brutes,cornes de bétail brutes
cornes de bœuf et de vache,cornes de bœuf et de vache
cornes de cerf et de snack,cornes de cerf et de snack
cornes de verre,cornes de verre
cornes mêlées,cornes mêlées
cornichons,cornichons
cors de chasse,cors de chasse
costus,costus
cotonnades couvertures,cotonnades couvertures
cotonnades drap étoffe de toute sorte,cotonnades drap étoffe de toute sorte
cotonnades châles,cotonnades châles
cotonnades toile mousseline unie et peinte,cotonnades toile mousseline unie et peinte
cotonnades toile peinte indienne et siamoise,cotonnades toile peinte indienne et siamoise
cotonnades toile peinte teinte et imprimée indienne et siamoise,cotonnades toile peinte teinte et imprimée indienne et siamoise
cotonnades toile unie basin et Nankin,cotonnades toile unie basin et nankin
coton blanc filé,coton blanc filé
coton cardé,coton cardé
coton divers,coton divers
coton en rames,coton en rames
cotonnette,cotonnette
coton fil,coton fil
coton filé blanc,coton filé blanc
coton filé des Indes,coton filé des indes
coton filé fin,coton filé fin
cotonnades bonneterie de coton et de fil,cotonnades bonneterie de coton et de fil
coton rouge,coton rouge
coton sans distinction,coton sans distinction
couffins,couffins
couffins d'osier,couffins d'osier
couleurs,couleurs
couleurs à peindre,couleurs à peindre
coussin de palme,coussin de palme
coussin à faire dentelle,coussin à faire dentelle
couteaux à gainer,couteaux à gainer
couteaux à manches de gaïac,couteaux à manches de gaïac
couteaux à manches de bois,couteaux à manches de bois
couteaux à virole d'argent,couteaux à virole d'argent
couteaux de chasse,couteaux de chasse
coutellerie,coutellerie
coutellerie commune,coutellerie commune
coutil à lit,coutil à lit
coutil de Hollande,coutil de hollande
couvercles de fer,couvercles de fer
couvertes de coton,couvertes de coton
couvertures,couvertures
couvertures de Rouen,couvertures de rouen
couvertures en plocq,couvertures en plocq
couvertures du Béarn,couvertures du béarn
couvertures de bourre,couvertures de bourre
couvertures de bourre de soie,couvertures de bourre de soie
couvertures de capiton,couvertures de capiton
couvertures de fleuret,couvertures de fleuret
couvertures de laine et coton,couvertures de laine et coton
